x0000,y0000
165.6,-0.205
165.6027778,-0.185
165.6055556,-0.17
165.6083333,-0.175
165.6111111,-0.19
165.6138889,-0.2
165.6166667,-0.175
165.6194444,-0.15
165.6222222,-0.155
165.625,-0.175
165.6277778,-0.215
165.6305556,-0.215
165.6333333,-0.21
165.6361111,-0.18
165.6388889,-0.175
165.6416667,-0.185
165.6444444,-0.2
165.6472222,-0.215
165.65,-0.195
165.6527778,-0.175
165.6555556,-0.16
165.6583333,-0.185
165.6611111,-0.19
165.6638889,-0.19
165.6666667,-0.175
165.6694444,-0.17
165.6722222,-0.17
165.675,-0.175
165.6777778,-0.185
165.6805556,-0.205
165.6833333,-0.205
165.6861111,-0.195
165.6888889,-0.19
165.6916667,-0.21
165.6944444,-0.22
165.6972222,-0.23
165.7,-0.21
165.7027778,-0.2
165.7055556,-0.18
165.7083333,-0.195
165.7111111,-0.18
165.7138889,-0.195
165.7166667,-0.17
165.7194444,-0.155
165.7222222,-0.145
165.725,-0.16
165.7277778,-0.175
165.7305556,-0.195
165.7333333,-0.19
165.7361111,-0.175
165.7388889,-0.18
165.7416667,-0.18
165.7444444,-0.195
165.7472222,-0.205
165.75,-0.205
165.7527778,-0.165
165.7555556,-0.165
165.7583333,-0.165
165.7611111,-0.185
165.7638889,-0.195
165.7666667,-0.18
165.7694444,-0.16
165.7722222,-0.17
165.775,-0.145
165.7777778,-0.16
165.7805556,-0.18
165.7833333,-0.155
165.7861111,-0.145
165.7888889,-0.14
165.7916667,-0.165
165.7944444,-0.175
165.7972222,-0.195
165.8,-0.185
165.8027778,-0.165
165.8055556,-0.16
165.8083333,-0.155
165.8111111,-0.17
165.8138889,-0.175
165.8166667,-0.17
165.8194444,-0.155
165.8222222,-0.145
165.825,-0.15
165.8277778,-0.17
165.8305556,-0.165
165.8333333,-0.165
165.8361111,-0.15
165.8388889,-0.125
165.8416667,-0.125
165.8444444,-0.125
165.8472222,-0.12
165.85,-0.12
165.8527778,-0.13
165.8555556,-0.14
165.8583333,-0.13
165.8611111,-0.15
165.8638889,-0.15
165.8666667,-0.14
165.8694444,-0.125
165.8722222,-0.12
165.875,-0.115
165.8777778,-0.125
165.8805556,-0.125
165.8833333,-0.105
165.8861111,-0.09
165.8888889,-0.07
165.8916667,-0.075
165.8944444,-0.08
165.8972222,-0.06
165.9,-0.045
165.9027778,-0.02
165.9055556,-0.005
165.9083333,0.015
165.9111111,0.015
165.9138889,0.025
165.9166667,0.055
165.9194444,0.065
165.9222222,0.085
165.925,0.085
165.9277778,0.06
165.9305556,0.06
165.9333333,0.06
165.9361111,0.075
165.9388889,0.045
165.9416667,0.02
165.9444444,0
165.9472222,-0.025
165.95,-0.025
165.9527778,-0.015
165.9555556,-0.015
165.9583333,-0.04
165.9611111,-0.05
165.9638889,-0.065
165.9666667,-0.09
165.9694444,-0.075
165.9722222,-0.05
165.975,-0.05
165.9777778,-0.065
165.9805556,-0.065
165.9833333,-0.05
165.9861111,-0.045
165.9888889,-0.025
165.9916667,-0.01
165.9944444,-0.015
165.9972222,-0.025
166,0
166.0027778,0.025
166.0055556,0.07
166.0083333,0.135
166.0111111,0.225
166.0138889,0.37
166.0166667,0.555
166.0194444,0.715
166.0222222,0.815
166.025,0.88
166.0277778,0.87
166.0305556,0.815
166.0333333,0.76
166.0361111,0.65
166.0388889,0.47
166.0416667,0.23
166.0444444,0.01
166.0472222,-0.115
166.05,-0.115
166.0527778,-0.085
166.0555556,-0.07
166.0583333,-0.095
166.0611111,-0.12
166.0638889,-0.125
166.0666667,-0.11
166.0694444,-0.105
166.0722222,-0.125
166.075,-0.12
166.0777778,-0.14
166.0805556,-0.15
166.0833333,-0.165
166.0861111,-0.15
166.0888889,-0.145
166.0916667,-0.165
166.0944444,-0.17
166.0972222,-0.175
166.1,-0.175
166.1027778,-0.175
166.1055556,-0.165
166.1083333,-0.185
166.1111111,-0.19
166.1138889,-0.195
166.1166667,-0.185
166.1194444,-0.17
166.1222222,-0.185
166.125,-0.175
166.1277778,-0.185
166.1305556,-0.19
166.1333333,-0.19
166.1361111,-0.175
166.1388889,-0.175
166.1416667,-0.18
166.1444444,-0.18
166.1472222,-0.18
166.15,-0.16
166.1527778,-0.155
166.1555556,-0.155
166.1583333,-0.15
166.1611111,-0.16
166.1638889,-0.16
166.1666667,-0.15
166.1694444,-0.145
166.1722222,-0.125
166.175,-0.12
166.1777778,-0.12
166.1805556,-0.12
166.1833333,-0.11
166.1861111,-0.095
166.1888889,-0.075
166.1916667,-0.075
166.1944444,-0.085
166.1972222,-0.085
166.2,-0.075
166.2027778,-0.065
166.2055556,-0.045
166.2083333,-0.05
166.2111111,-0.045
166.2138889,-0.03
166.2166667,-0.01
166.2194444,0.015
166.2222222,0.04
166.225,0.045
166.2277778,0.035
166.2305556,0.04
166.2333333,0.065
166.2361111,0.095
166.2388889,0.095
166.2416667,0.115
166.2444444,0.115
166.2472222,0.12
166.25,0.135
166.2527778,0.18
166.2555556,0.195
166.2583333,0.21
166.2611111,0.2
166.2638889,0.21
166.2666667,0.235
166.2694444,0.27
166.2722222,0.265
166.275,0.28
166.2777778,0.275
166.2805556,0.265
166.2833333,0.29
166.2861111,0.32
166.2888889,0.335
166.2916667,0.345
166.2944444,0.335
166.2972222,0.325
166.3,0.335
166.3027778,0.345
166.3055556,0.36
166.3083333,0.345
166.3111111,0.33
166.3138889,0.31
166.3166667,0.32
166.3194444,0.32
166.3222222,0.32
166.325,0.31
166.3277778,0.26
166.3305556,0.235
166.3333333,0.235
166.3361111,0.22
166.3388889,0.225
166.3416667,0.225
166.3444444,0.19
166.3472222,0.165
166.35,0.145
166.3527778,0.165
166.3555556,0.16
166.3583333,0.13
166.3611111,0.125
166.3638889,0.095
166.3666667,0.105
166.3694444,0.095
166.3722222,0.09
